spot_strike_ratio,ttm,risk_free_rate,volatility,avg_type,monte_carlo_price,net_price,delta_mc,delta_mc_l_ci,delta_mc_r_ci,theta_mc,theta_mc_l_ci,theta_mc_r_ci,rho_mc,rho_mc_l_ci,rho_mc_r_ci,vega_mc,vega_mc_l_ci,vega_mc_r_ci
0.5921,1.2226,0.0527,0.3953,GEOMETRIC,0.0039,1.4270,0.0296,-0.0111,0.0702,-0.0041,-0.0152,0.0234,0.0084,-0.4355,0.4523,0.0235,-0.0368,0.0838
1.5805,0.6080,0.0036,0.1638,GEOMETRIC,0.5798,1.4561,0.9976,0.9900,1.0051,0.0027,-0.0225,0.0170,0.1274,-3.1863,3.4410,-0.0261,-0.0996,0.0475
1.6071,1.2881,0.0112,0.1938,ARITHMETIC,0.6138,1.7141,0.9928,0.9651,1.0206,-0.0022,-0.0324,0.0368,0.2444,-3.7157,4.2045,0.0013,-0.2299,0.2325
1.4357,1.1824,0.0314,0.3432,GEOMETRIC,0.4449,1.5324,0.9387,0.8554,1.0220,-0.0041,-0.0981,0.1064,0.2820,-3.5448,4.1088,-0.0227,-0.3772,0.3317
1.1279,1.3947,0.0410,0.1119,GEOMETRIC,0.1525,1.4689,0.9502,0.9363,0.9640,-0.0163,0.0045,0.0281,0.5343,0.1365,0.9321,0.0154,-0.1328,0.1636
1.7538,0.8881,0.1014,0.5369,ARITHMETIC,0.7897,1.8110,0.9473,0.7953,1.0992,-0.0154,-0.2855,0.3162,0.0700,-2.5507,2.6907,0.0249,-0.4757,0.5254
1.9607,0.5364,0.0193,0.0965,GEOMETRIC,0.9604,1.5036,0.9944,0.9921,0.9967,0.0012,-0.0097,0.0072,0.0079,-0.2261,0.2420,-0.0168,-0.0640,0.0305
1.4372,0.9521,0.0880,0.4471,GEOMETRIC,0.4589,1.5543,0.9012,0.7885,1.0139,-0.0141,-0.1573,0.1856,0.1920,-1.6525,2.0364,-0.0149,-0.3823,0.3525
0.6264,0.7547,0.1705,0.5110,GEOMETRIC,0.0079,1.4579,0.0621,0.0001,0.1240,-0.0143,-0.0363,0.0648,0.0112,-0.2108,0.2333,0.0347,-0.0404,0.1099
0.9410,0.6022,0.1618,0.3372,GEOMETRIC,0.0513,1.4564,0.4705,0.3724,0.5686,-0.0679,-0.0841,0.2199,0.1017,-0.4625,0.6660,0.1453,-0.1270,0.4175
