spot_strike_ratio,risk_free_rate,volatility,avg_type,price_strike_ratio,left_ci,right_ci
1.6887,0.1219,0.6537,ARITHMETIC,0.7206,0.6800,0.7613
1.8555,0.0196,0.9695,GEOMETRIC,0.8049,0.6933,0.9165
0.8837,0.0869,0.9766,GEOMETRIC,0.1765,0.1217,0.2313
1.1702,0.1103,0.9599,GEOMETRIC,0.2102,0.1679,0.2524
1.2905,0.1350,0.5826,ARITHMETIC,0.3594,0.3305,0.3883
0.9825,0.1239,0.8684,GEOMETRIC,0.1757,0.1343,0.2170
1.2752,0.1098,0.2494,GEOMETRIC,0.3065,0.3017,0.3113
1.1554,0.1467,0.4684,GEOMETRIC,0.2231,0.2048,0.2413
1.0442,0.1851,0.7599,GEOMETRIC,0.1709,0.1392,0.2025
1.3832,0.0428,0.9447,ARITHMETIC,0.4786,0.3921,0.5650
1.1151,0.0990,0.2075,GEOMETRIC,0.1612,0.1549,0.1675
1.8704,0.1360,0.8183,ARITHMETIC,0.9871,0.8651,1.1091
1.9599,0.1542,0.3851,ARITHMETIC,0.9528,0.9397,0.9659
0.6811,0.1767,0.8459,ARITHMETIC,0.0574,0.0364,0.0784
0.8556,0.1502,0.7843,GEOMETRIC,0.1015,0.0766,0.1263
1.5928,0.1138,0.6209,GEOMETRIC,0.5523,0.5285,0.5761
1.5787,0.0294,0.8024,GEOMETRIC,0.5489,0.5011,0.5966
0.9866,0.1605,0.3694,ARITHMETIC,0.1110,0.0944,0.1275
1.0732,0.0775,0.6730,GEOMETRIC,0.2005,0.1668,0.2342
1.8530,0.1840,0.1016,ARITHMETIC,0.8603,0.8594,0.8613
