volatility,predicted_vol
0.1193,0.1400
0.3960,0.4850
0.4145,0.1900
0.1022,0.2350
0.4267,0.2300
0.2889,0.1600
0.1519,0.1950
0.2528,0.2000
0.1131,0.1850
0.1951,0.2200
0.4807,0.3050
0.5270,0.4250
0.2427,0.2250
0.4932,0.3000
0.3188,0.5050
0.2286,0.5150
0.0758,0.1650
0.2935,0.4450
0.3818,0.2450
0.4989,0.5050
0.2922,0.2300
0.3319,0.2000
0.4368,0.2750
0.0755,0.1650
0.2935,0.2150
0.4702,0.2250
0.4767,0.1900
0.5074,0.3050
0.4944,0.2200
0.2992,0.2000
0.2456,0.1800
0.5325,0.3000
0.0542,0.2200
0.5440,0.3000
0.3692,0.2400
0.4829,0.2200
0.1302,0.1700
0.2579,0.1750
0.4861,0.3000
0.2887,0.2100
0.3068,0.2400
0.3935,0.2450
0.3148,0.2300
0.2844,0.4150
0.1547,0.1800
0.4614,0.3000
0.2603,0.1800
0.2257,0.4850
0.3101,0.2350
0.2618,0.1700
0.4542,0.2400
0.5484,0.3000
0.3673,0.4850
0.5258,0.2300
0.1994,0.2350
0.2256,0.4300
0.5436,0.3000
0.5084,0.2350
0.4922,0.3000
0.4761,0.2350
0.5013,0.4100
0.1904,0.1950
0.5119,0.4150
0.0915,0.2300
0.2943,0.2600
0.0733,0.1900
0.1630,0.1600
0.1473,0.1550
0.4457,0.1750
0.1256,0.1600
0.4747,0.2750
0.1994,0.3400
0.4870,0.2000
0.1057,0.2250
0.0610,0.2350
0.2833,0.2050
0.3162,0.1800
0.4822,0.1800
0.1693,0.1350
0.3089,0.2450
0.1803,0.4900
0.1477,0.1700
0.5389,0.4300
0.4206,0.3000
0.4524,0.2400
0.1900,0.1950
0.2801,0.5050
0.1099,0.1700
0.3160,0.2300
0.1901,0.1400
0.3783,0.2100
0.2109,0.1700
0.4344,0.4700
0.5075,0.3350
0.3271,0.2600
0.4923,0.2650
0.0885,0.2300
0.0747,0.1850
0.4971,0.4850
0.3087,0.2000
0.2880,0.1900
0.4393,0.2250
0.3894,0.3000
0.0606,0.2100
0.1422,0.1850
0.2250,0.2100
0.4280,0.3000
0.3415,0.2400
0.4002,0.2100
0.2761,0.4900
0.1956,0.4200
0.4048,0.2350
0.4859,0.2550
0.2972,0.4100
0.5377,0.2450
0.0930,0.2050
0.4482,0.2000
0.2812,0.1900
0.4701,0.3000
0.5465,0.1500
0.1087,0.2350
0.5437,0.5000
0.2056,0.1650
0.4775,0.3950
0.0535,0.1750
0.3450,0.1950
0.1012,0.2200
0.5474,0.1750
0.1010,0.1800
0.1935,0.1450
0.1264,0.1850
0.2905,0.1900
0.4170,0.2300
0.2787,0.2200
0.2977,0.1400
0.4699,0.2300
0.3178,0.4800
0.0997,0.1650
0.3608,0.2350
0.1730,0.1700
0.3941,0.3000
0.1446,0.2150
0.3591,0.2050
0.2199,0.1550
0.0512,0.2350
0.3480,0.2300
0.2221,0.2350
0.3024,0.2300
0.1420,0.2250
0.1445,0.2150
0.1790,0.4250
0.2428,0.1900
0.3552,0.1950
0.2890,0.2050
0.1804,0.2200
0.2957,0.1650
0.1344,0.2350
0.0553,0.2200
0.5165,0.2500
0.3233,0.2100
0.0822,0.1650
0.1533,0.4750
0.3603,0.2300
0.4561,0.2250
0.1406,0.2250
0.2728,0.2700
0.3971,0.2000
0.4924,0.5300
0.2336,0.1750
0.3021,0.2250
0.2224,0.1500
0.1024,0.3300
0.4234,0.1500
0.0939,0.1850
0.0916,0.1700
0.4057,0.2100
0.0722,0.2300
0.4422,0.2700
0.5434,0.1500
0.4983,0.4350
0.0547,0.1550
0.3262,0.1950
0.3362,0.3000
0.2889,0.1950
0.1986,0.2050
0.1645,0.1800
0.0979,0.2250
0.3369,0.2100
0.1023,0.2250
0.1353,0.2250
0.1116,0.2100
0.0940,0.1600
0.3367,0.1650
0.1627,0.1500
0.4197,0.1600
0.4524,0.1600
0.5104,0.2800
0.4766,0.3000
0.2785,0.3000
0.5108,0.3000
0.1394,0.2100
0.4111,0.5100
0.0890,0.2300
0.1153,0.1500
0.5477,0.3000
0.4966,0.3950
0.1935,0.2000
0.1815,0.2350
0.2195,0.1600
0.0956,0.4000
0.5191,0.1850
0.0800,0.2350
0.1120,0.2050
0.2946,0.1900
0.3593,0.2200
0.2591,0.2250
0.2971,0.1600
0.4819,0.3000
0.2906,0.3900
0.0729,0.2100
0.3402,0.2600
0.4263,0.4200
0.3709,0.2200
0.0636,0.2050
0.3367,0.2350
0.4934,0.3000
0.2796,0.1650
0.5112,0.4800
0.1753,0.5100
0.3414,0.1800
0.4438,0.3350
0.3332,0.1650
0.5131,0.2700
0.1192,0.2000
0.0560,0.1700
0.4685,0.2000
0.1140,0.1950
0.3124,0.1800
0.3217,0.1400
0.4373,0.1500
0.1947,0.1700
0.4522,0.3000
0.1828,0.2300
0.3428,0.5350
0.2515,0.2150
0.4162,0.2150
0.2628,0.1700
0.2934,0.2100
0.2929,0.1500
0.5307,0.5150
0.3505,0.3650
0.2809,0.1500
0.3905,0.1950
0.4775,0.2300
0.1687,0.2000
0.0702,0.1400
0.1375,0.2250
0.4487,0.2150
0.1133,0.2200
0.1152,0.2300
0.5464,0.3000
0.3776,0.2050
0.3647,0.1950
0.4891,0.3000
0.2529,0.2000
0.1266,0.1550
0.5430,0.3000
0.4035,0.2050
0.5159,0.3000
0.4670,0.2000
0.3117,0.5100
0.4225,0.4300
0.4246,0.3000
0.5119,0.3000
0.4137,0.1800
0.5071,0.1700
0.4665,0.2100
0.5182,0.2150
0.2999,0.5000
0.0773,0.1600
0.2101,0.5100
0.3254,0.2550
0.5352,0.1750
0.1491,0.1700
0.2994,0.2050
0.3328,0.2100
0.4599,0.1950
0.2544,0.2100
0.1540,0.2450
0.3606,0.1950
0.4540,0.3000
0.1600,0.2000
0.3344,0.4800
0.3178,0.2200
0.1988,0.1700
0.5384,0.4000
0.5362,0.1900
0.1411,0.1850
0.2778,0.2800
0.1802,0.1600
0.0525,0.1650
0.1947,0.3750
0.1713,0.5100
0.0725,0.1850
0.2732,0.2200
0.2128,0.1950
0.3505,0.3000
0.2481,0.1400
0.4213,0.1950
0.3157,0.2150
0.3521,0.2450
0.3404,0.1800
0.4024,0.4650
0.3333,0.2550
0.1171,0.2200
0.2416,0.2250
0.3475,0.2000
0.4805,0.1800
0.5486,0.3000
0.1138,0.2450
0.1373,0.1750
0.3515,0.3000
0.4829,0.3000
0.2968,0.2150
0.5418,0.3000
0.4047,0.2050
0.1463,0.1950
0.2400,0.2100
0.3435,0.3000
0.1843,0.2150
0.1331,0.1550
0.1288,0.1600
0.5076,0.1850
0.5135,0.3000
0.1462,0.1650
0.4263,0.1950
0.4111,0.3000
0.2328,0.2050
0.2013,0.5050
0.2072,0.1650
0.2961,0.2500
0.5000,0.1750
0.4723,0.1950
0.2638,0.3000
0.3471,0.2550
0.4711,0.4650
0.1970,0.2600
0.3564,0.4200
0.0897,0.1550
0.2521,0.2000
0.3490,0.2350
0.1560,0.2250
0.4055,0.4800
0.1505,0.1400
0.1117,0.1700
0.4328,0.3000
0.1302,0.1800
0.1615,0.2350
0.3043,0.1650
0.3538,0.3000
0.0926,0.2350
0.2182,0.1500
0.4629,0.2550
0.4304,0.1900
0.2772,0.3000
0.2771,0.1950
0.3934,0.2050
0.1594,0.1850
0.0908,0.1800
0.1003,0.1350
0.1544,0.4000
0.2422,0.2300
0.1910,0.1950
0.4513,0.2200
0.0643,0.2300
0.2772,0.2650
0.0922,0.1850
0.1156,0.2300
0.1143,0.2400
0.5296,0.5050
0.4115,0.3000
0.0973,0.1850
0.3878,0.1500
0.3779,0.2650
0.1666,0.1850
0.4418,0.2050
0.2655,0.2350
0.4463,0.2350
0.2217,0.1950
0.1487,0.2050
0.1294,0.2450
0.1546,0.2150
0.4412,0.1850
0.5151,0.3000
0.3644,0.2350
0.1407,0.2300
0.5062,0.5200
0.3928,0.3000
0.1226,0.1900
0.2882,0.3400
0.5382,0.3250
0.3235,0.1800
0.5175,0.3000
0.3890,0.3950
0.3330,0.4450
0.4626,0.2250
0.5497,0.2750
0.2804,0.2200
0.1867,0.2100
0.3920,0.2350
0.2752,0.1850
0.4347,0.2050
0.1931,0.2250
0.3030,0.1950
0.1717,0.1600
0.1424,0.2100
0.4005,0.2150
0.5051,0.2350
0.2180,0.2400
0.2008,0.4200
0.2654,0.2050
0.2428,0.4250
0.2030,0.2350
0.1207,0.2350
0.1123,0.2250
0.0753,0.2000
0.2081,0.4900
0.4721,0.2300
0.1068,0.2200
0.1758,0.2250
0.3426,0.2100
0.4236,0.3000
0.1545,0.2050
0.4187,0.2250
0.4374,0.2350
0.1259,0.1650
0.3252,0.5100
