spot_strike_ratio,ttm,risk_free_rate,volatility,avg_type,price_strike_ratio,left_ci,right_ci
1.5000,1.5000,0.1200,0.3096,ARITHMETIC,0.5390,0.5370,0.5410
1.5000,1.5000,0.1200,0.2543,ARITHMETIC,0.5367,0.5355,0.5379
1.5000,1.5000,0.1200,0.3394,ARITHMETIC,0.5400,0.5376,0.5425
1.5000,1.5000,0.1200,0.0852,ARITHMETIC,0.5376,0.5374,0.5377
1.5000,1.5000,0.1200,0.2942,ARITHMETIC,0.5409,0.5390,0.5429
1.5000,1.5000,0.1200,0.3551,ARITHMETIC,0.5377,0.5351,0.5403
1.5000,1.5000,0.1200,0.4219,ARITHMETIC,0.5414,0.5375,0.5452
1.5000,1.5000,0.1200,0.2649,ARITHMETIC,0.5366,0.5353,0.5379
1.5000,1.5000,0.1200,0.2014,ARITHMETIC,0.5379,0.5371,0.5387
1.5000,1.5000,0.1200,0.0529,ARITHMETIC,0.5375,0.5374,0.5376
1.5000,1.5000,0.1200,0.4282,ARITHMETIC,0.5442,0.5401,0.5484
1.5000,1.5000,0.1200,0.0888,ARITHMETIC,0.5375,0.5373,0.5376
1.5000,1.5000,0.1200,0.2950,ARITHMETIC,0.5389,0.5371,0.5408
1.5000,1.5000,0.1200,0.2022,ARITHMETIC,0.5380,0.5372,0.5388
1.5000,1.5000,0.1200,0.4704,ARITHMETIC,0.5499,0.5449,0.5548
1.5000,1.5000,0.1200,0.5252,ARITHMETIC,0.5555,0.5492,0.5618
1.5000,1.5000,0.1200,0.2094,ARITHMETIC,0.5375,0.5367,0.5383
1.5000,1.5000,0.1200,0.4989,ARITHMETIC,0.5500,0.5445,0.5556
1.5000,1.5000,0.1200,0.2188,ARITHMETIC,0.5366,0.5358,0.5375
1.5000,1.5000,0.1200,0.4561,ARITHMETIC,0.5480,0.5432,0.5529
1.5000,1.5000,0.1200,0.4494,ARITHMETIC,0.5444,0.5399,0.5489
1.5000,1.5000,0.1200,0.3776,ARITHMETIC,0.5398,0.5367,0.5428
1.5000,1.5000,0.1200,0.1644,ARITHMETIC,0.5375,0.5370,0.5380
1.5000,1.5000,0.1200,0.1188,ARITHMETIC,0.5375,0.5372,0.5377
1.5000,1.5000,0.1200,0.2622,ARITHMETIC,0.5378,0.5364,0.5392
1.5000,1.5000,0.1200,0.1258,ARITHMETIC,0.5376,0.5373,0.5379
1.5000,1.5000,0.1200,0.4866,ARITHMETIC,0.5508,0.5451,0.5565
1.5000,1.5000,0.1200,0.1396,ARITHMETIC,0.5373,0.5369,0.5376
1.5000,1.5000,0.1200,0.0651,ARITHMETIC,0.5374,0.5373,0.5375
1.5000,1.5000,0.1200,0.3296,ARITHMETIC,0.5389,0.5367,0.5412
1.5000,1.5000,0.1200,0.2644,ARITHMETIC,0.5379,0.5365,0.5392
1.5000,1.5000,0.1200,0.4793,ARITHMETIC,0.5500,0.5448,0.5553
1.5000,1.5000,0.1200,0.1304,ARITHMETIC,0.5376,0.5373,0.5379
1.5000,1.5000,0.1200,0.2302,ARITHMETIC,0.5378,0.5367,0.5388
1.5000,1.5000,0.1200,0.3703,ARITHMETIC,0.5388,0.5359,0.5416
1.5000,1.5000,0.1200,0.5155,ARITHMETIC,0.5566,0.5502,0.5629
1.5000,1.5000,0.1200,0.1809,ARITHMETIC,0.5374,0.5368,0.5380
